id;nombre;ruc_ci;telefono;email;direccion;fecha_alta
1;victoriously;gullible;vice;Stevie61@gmail.com;while ugh tuba;2025-11-19
2;waterlogged boldly;needy;tidy handover;Jerald.Lebsack58@hotmail.com;reprove;2025-11-19
3;regarding whose;unnecessarily seriously;complete;Enid.Jerde@yahoo.com;phew;2025-11-19
4;boohoo;per;easy;Scarlett_Cummerata37@gmail.com;stark welcome;2025-11-19
5;violent since;forenenst sneak definite;yippee;Diego73@hotmail.com;urgently;2025-11-19
6;negligible;up;shakily whenever ew;Cathy_OConner@yahoo.com;tabletop deer regarding;2025-11-19
7;midst authentic until;miserable;boohoo amid;Roel.Schmeler25@yahoo.com;in thunderbolt after;2025-11-19
8;whether;woot;mispronounce insidious even;Carlo98@yahoo.com;upright;2025-11-19
9;rawhide;funny along mathematics;list forswear;Margaretta.Dickinson85@yahoo.com;afraid sun er;2025-11-19
10;round;ick immediately;till mmm whoa;Jennings_Schiller@yahoo.com;hmph abandoned;2025-11-19
